name,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Maruti 800 AC,2007,70000,0,0,0,1,6000
Maruti Wagon R LXI Minor,2007,50000,0,0,0,1,13500
Hyundai Verna 1.6 SX,2012,100000,1,0,0,1,60000
Datsun RediGO T Option,2017,46000,0,0,0,1,25000
Honda Amaze VX i-DTEC,2014,141000,1,0,0,2,45000
Maruti Alto LX BSIII,2007,125000,0,0,0,1,14000
Hyundai Xcent 1.2 Kappa S,2016,25000,0,0,0,1,55000
Tata Indigo Grand 0,2014,60000,0,0,0,2,24000
Hyundai Creta 1.6 VTVT S,2015,25000,0,0,0,1,85000
Maruti Celerio Green VXI,2017,78000,2,0,0,1,36500
Chevrolet Sail 1.2 Base,2015,35000,0,0,0,1,26000
Tata Indigo Grand 0,2014,100000,0,0,0,1,25000
Toyota Corolla Altis 1.8 VL CVT,2018,25000,0,1,1,1,165000
Maruti 800 AC,2007,70000,0,0,0,1,6000
Maruti Wagon R LXI Minor,2007,50000,0,0,0,1,13500
Hyundai Verna 1.6 SX,2012,100000,1,0,0,1,60000
Datsun RediGO T Option,2017,46000,0,0,0,1,25000
Honda Amaze VX i-DTEC,2014,141000,1,0,0,2,45000
Maruti Alto LX BSIII,2007,125000,0,0,0,1,14000
Hyundai Xcent 1.2 Kappa S,2016,25000,0,0,0,1,55000
Tata Indigo Grand 0,2014,60000,0,0,0,2,24000
Hyundai Creta 1.6 VTVT S,2015,25000,0,0,0,1,85000
Maruti Celerio Green VXI,2017,78000,2,0,0,1,36500
Chevrolet Sail 1.2 Base,2015,35000,0,0,0,1,26000
Tata Indigo Grand 0,2014,100000,0,0,0,1,25000
Toyota Corolla Altis 1.8 VL CVT,2018,25000,0,1,1,1,165000
Maruti Ciaz VXi Plus,2015,24000,0,1,0,1,58500
Hyundai Venue SX Opt 1,2019,5000,1,1,0,1,119500
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,33000,1,0,0,2,39000
Jaguar XF 2.2 Litre Luxury,2014,28000,1,1,1,1,196499
Mercedes-Benz New C-Class 220 CDI AT,2013,59000,1,1,1,1,142500
Maruti Vitara Brezza ZDi Plus AMT,2018,4500,1,1,1,1,97500
Audi Q5 2.0 TDI,2011,175900,1,1,1,1,119000
Honda City V MT,2018,14500,0,1,0,1,93000
Tata Tigor 1.2 Revotron XT,2018,15000,0,0,0,1,52500
Audi A6 2.0 TDI  Design Edition,2013,50000,1,1,1,1,173500
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,33800,1,1,1,2,137500
Skoda Superb Ambition 2.0 TDI CR AT,2011,130400,1,1,1,2,45000
Toyota Corolla Altis G AT,2016,50000,0,0,1,1,90000
Toyota Innova 2.5 G (1) 7 Seater,2015,80000,1,0,0,1,130000
Jeep Compass 1.4 Sport Plus BSIV,2019,10000,0,0,0,1,140000
Mercedes-Benz E-Class E 200 CGI Elegance,2010,119000,0,1,1,1,85000
Hyundai i10 Magna 1.1L,2014,60000,0,0,0,4,22999
BMW 3 Series 320d Sport Line,2013,75800,1,1,1,2,155000
Audi Q7 35 TDI Quattro Premium,2009,78000,1,1,1,3,125000
Hyundai Elantra CRDi S,2012,40000,1,0,0,1,62500
Mahindra Scorpio 1.99 S10,2014,50000,1,0,0,1,105000
Honda City i DTEC V,2014,74000,1,0,0,2,56000
Maruti Wagon R VXI BS IV with ABS,2014,64000,0,0,0,2,29000
Maruti Wagon R VXI BS IV,2012,60000,0,0,0,2,27500
Mahindra Scorpio LX,2009,120000,1,0,0,2,41100
Hyundai Santro Xing GLS,2009,79000,0,0,0,3,15000
Hyundai Grand i10 1.2 Kappa Asta,2019,15000,0,0,0,1,50000
Maruti Alto LXi,2006,80000,0,0,0,1,10000
Maruti Swift Dzire VDI Optional,2017,18500,1,1,0,1,72500
Maruti Eeco 5 Seater AC BSIV,2018,10200,0,1,0,1,40100
Hyundai i20 Sportz 1.4 CRDi,2018,29000,1,1,0,1,75000
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,28000,0,1,0,1,31000
Maruti Swift ZDi BSIV,2016,46000,1,1,0,1,66500
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,70000,1,1,0,1,46500
Maruti Alto LXi,2012,60000,0,0,0,2,16000
Mahindra Jeep CL 500 MDI,1996,35000,1,0,0,2,25000
Honda City i DTEC VX,2014,90000,1,1,0,1,67500
Maruti Wagon R VXI BS IV,2013,80000,0,1,0,1,30000
Tata Indica DLS,2005,80000,1,0,0,1,7000
Hyundai EON Magna Plus,2014,73300,0,1,0,2,24000
Toyota Etios GD,2014,92000,1,1,0,1,52500
Maruti Alto LXi,2009,66764,0,1,0,2,15100
Maruti Alto LXi,2009,100000,0,0,0,1,14000
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,350000,1,0,0,2,28000
Toyota Corolla Altis 1 D4DG,2011,230000,1,0,0,1,35000
Mahindra Scorpio 1.99 S6 Plus,2017,60000,1,0,0,1,57000
Hyundai EON Magna Plus,2018,31000,0,0,0,1,30000
Tata Indigo Classic Dicor,2007,39000,1,0,0,1,10000
Toyota Innova 2.5 V 1 8-seater,2009,120000,1,0,0,3,50000
Tata Indica Vista Quadrajet LS,2014,166000,1,0,0,4,12500
Maruti Swift 1.3 VXi,2006,110000,0,0,0,3,13000
Ford EcoSport 1.5 1 Titanium BSIV,2017,35000,1,0,0,1,92500
Maruti Ciaz 1.3 Delta,2018,60000,1,0,0,1,75000
Honda Civic 1.8 V AT,2007,54000,0,0,1,2,20000
Hyundai i10 Sportz 1.2,2010,63000,0,0,0,2,24800
Skoda Rapid 1.5 TDI Elegance,2014,120000,1,0,0,2,45000
Hyundai Getz GLS,2005,120000,0,0,0,3,8000
Nissan Terrano XL,2014,76000,0,0,0,2,65000
Hyundai Grand i10 CRDi Sportz,2015,80000,1,0,0,1,45000
Hyundai Elite i20 1 Era,2019,25000,1,0,0,1,65000
Honda Amaze S i-VTEC,2016,11958,0,1,0,1,49500
Honda Brio S MT,2015,20000,0,1,0,1,37100
Hyundai Creta 1.6 SX Option,2017,9000,0,1,0,1,102500
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,6500,1,1,1,1,815000
Mahindra XUV500 W8 2WD,2015,70000,1,0,0,1,75000
Renault Duster 85PS 1 RxL Optional,2013,120000,1,0,0,1,60000
Hyundai Santro Xing XO,2007,58000,0,1,0,2,8000
Mahindra Bolero 2011-2019 SLE,2013,62200,1,1,0,1,32500
Audi A6 2.0 TDI Premium Plus,2014,34000,1,1,1,2,147000
